Item	ItemExpID	context	adj	noun	cond	typ
401	169	Since Jeremy was sick, he stayed in	his	bed	3	train
402	170	The young rider had trouble putting on the	horse's	saddle	3	train
403	171	Before battle, the knight needed to get a	fragile	sword	3	train
404	172	The musician plucked at the strings of his	flat-fronted	guitar	3	train
441	209	Every year the neighborhood had a	holiday	party	3	filler
447	215	Every day, the family worked in their	vegetable	garden	3	filler
30	18	Sandy always wished that she had had a	Persian	sister	1	exp
195	96	The Democrats seemed to focus on defense while the Republicans talked about the	booming	budget	2	exp
143	77	They had to shampoo the new beige rug after the accident with the	mangy	wine	2	exp
21	14	I had lost the ticket I needed to pick up my	rental	clothes	1	exp
322	149	They had been wandering in circles because nobody had a	detailed	map	3	exp
8	6	The young boy asked for another	tasty	treat	0	exp
262	121	In his day, that old guy was one of the best	soccer	athletes	2	exp
136	72	After dinner they washed the	family	dishes	1	exp
181	90	Most men cannot understand why women wear	ugly	shoes	0	exp
277	129	Ida wanted to sing folk songs at the picnic, so she brought her	wireless	microphone	0	exp
4	3	At night the old woman locked the	frosty	door	1	exp
425	193	Karen put the grilled hamburger on a	brioche	bun	3	filler
326	151	He liked lemon and sugar in his	herbal	water	2	exp
450	218	Even the mother's singing couldn't calm the	screaming	baby	3	filler
61	35	Helen reached up to dust the	topmost	lamp	2	exp
420	188	Hank made a special horseshoe for Blazer's	deformed	hoof	3	filler
113	64	The cows moved from the sun into the	wooden	shade	1	exp
430	198	The determined student was not discouraged by his	bad	grades	3	filler
62	36	The journalist reported that many collapsed during the	intense	heat	3	exp
439	207	The baseball player always used his lucky	catcher's	mitt	3	filler
414	182	Use tools to remove the lid from a	tin	can	3	filler
2	2	His skin was red from spending the day at the	neighborhood	beach	1	exp
454	222	She had arranged all her dolls in a	neat	row	3	filler
144	78	The wealthy couple's three little girls enjoyed playing together in the	front	yard	3	exp
288	134	No matter how hard she tried, she could not remember the	serial	name	1	exp
99	55	The bridesmaid had an ugly	revealing	face	2	exp
412	180	The little girl loved making art with	colored	pencils	3	filler
