Item	ItemExpID	context	adj	noun	cond	typ
401	169	Since Jeremy was sick, he stayed in	his	bed	3	train
402	170	The young rider had trouble putting on the	horse's	saddle	3	train
403	171	Before battle, the knight needed to get a	fragile	sword	3	train
404	172	The musician plucked at the strings of his	flat-fronted	guitar	3	train
441	209	Every year the neighborhood had a	holiday	party	3	filler
445	213	Harrison didn't want to clip the wings of	his	bird	3	filler
105	59	I don't know what his secret was, but my brother always managed to get the best	academic	girls	2	exp
58	33	Upon mother's strict orders, the cat's smelly litter box was kept in the	damp	basement	3	exp
123	68	She usually let her very competent secretary handle the	difficult	tasks	0	exp
104	58	She was having a hard time because she didn't know the	English	language	0	exp
189	93	Sam practiced every day in anticipation of the	philharmonic	dance	2	exp
240	112	He positioned the violin under his	bearded	arm	2	exp
270	126	It didn't get completed because he could not locate the right	diagnostic	pen	2	exp
246	115	He was cold most of the night and finally got up to get another	thick	sweater	2	exp
92	51	Their neighbors were surprised to find out that the Smiths had never visited that	sleepy	park	1	exp
432	200	The pilot had trouble seeing due to the	thick	fog	3	filler
338	156	She decided to start a new	entrepreneurial	job	1	exp
444	212	The unmarried man lived in a	bachelor	pad	3	filler
299	139	Betsy could never tell a	deliberate	lie	3	exp
363	164	He fell on the floor after tripping on the	power	rug	1	exp
456	224	When he got to work, the baker prepared	fresh	bread	3	filler
102	57	He was soothed by the gentle	southerly	music	1	exp
2	2	His skin was red from spending the day at the	neighborhood	pool	0	exp
69	38	They carelessly dumped the toxic waste into the	deep	river	1	exp
422	190	The couple began to brew their	own	beer	3	filler
416	184	An ambitious man, Garrett started his own	consulting	firm	3	filler
200	99	She wore heavy wool socks and her sturdiest boots to go walking in the	pine	snow	1	exp
237	111	Paul painted the clown's suit blue and gave him a big red	inflated	nose	1	exp
142	76	He hated to move, but Richard wanted to live closer to his	distant	mother	1	exp
476	244	The flower patch was flawed by an	overgrown	weed	3	filler
425	193	Karen put the grilled hamburger on a	brioche	bun	3	filler
366	165	They took her car because he hated to drive in the	big	rain	1	exp
